Subject,Stimulus,code,End Time [ms],Saccade Start [ms],Saccade Duration [ms],Saccade End [ms],StartPosition X,StartPosition Y,EndPosition X,EndPosition Y, Amplitude [F],Position X AOI,Position Y AOI, Velocity  Average [F/s],Velocity  Peak [F/s],Peak Velocity at [%],Eye L/R,Number
3,1a left.jpg,1,1489,339,33,372,493.7,384.5,657.7,376.4,3.8,693.3,371.5,113,189.1,100,Left,2
3,1p right.jpg,1,1483,366,16,383,549.5,378.4,629,378.8,1.1,723.3,369.4,65.4,164.6,100,Left,1
3,20a right.jpg,1,1492,404,16,420,476.5,383.1,409.1,386,1.4,521.2,384.1,85.2,139.7,100,Left,1
3,20p left.jpg,1,1492,381,16,398,593.9,389.8,624.3,388.7,1,705,366.5,58.3,106.9,0,Left,1
3,20p left.jpg,1,1492,715,16,731,691.8,371.9,694.5,371.2,0.1,705,366.5,8.4,14.3,0,Left,2
3,20p left.jpg,1,1492,1048,66,1115,713.5,355,717.8,335.8,6.9,336.9,382.2,104.1,224.7,24.9,Left,3
3,20p left.jpg,1,1492,1365,133,1498,749.2,255.2,667.3,331.5,15.5,304.4,381.2,115.9,307.3,12.5,Left,4
3,21a left.jpg,1,1492,315,99,414,506.5,375.9,516,274.9,27.6,529.8,374.4,276.5,961.3,33.1,Left,1
3,21a left.jpg,1,1492,531,66,598,501.7,330.4,499.5,327,16.8,336.9,382.2,251.6,751.8,75,Left,2
3,21a left.jpg,1,1492,714,16,731,490.7,353.7,396,349,1.4,304.4,381.2,84.1,196.4,100,Left,3
3,21a left.jpg,1,1492,881,50,931,359.9,375.1,643.8,365.9,5.8,358.9,378.6,115.9,266.4,33.5,Left,4
3,21p left.jpg,1,1488,338,16,355,566.2,374.8,592.2,370.5,0.8,514.7,371.3,45.8,113.7,0,Left,1
3,21p left.jpg,1,1488,488,16,505,658.8,352.2,684,350.2,0.8,358.9,378.6,46.9,118.7,0,Left,2
3,21p left.jpg,1,1488,1238,99,1338,734.8,336.9,755.2,347.1,10.5,536.4,354,104.7,236.3,33.2,Left,3
3,22a left.jpg,1,1486,286,16,303,532.3,395.3,618,385.6,1.4,704,347.3,81.3,178.4,100,Left,1
3,22a left.jpg,1,1486,486,16,503,689.1,361.3,691.9,361.9,0.1,724.6,365.9,6.9,10.9,100,Left,2
3,22p left.jpg,1,1492,312,16,328,604.1,403.5,622.5,394,1,704,347.3,60.5,142.6,0,Left,1
3,22p left.jpg,1,1492,828,83,912,679.7,358.4,645.6,221.6,12.5,724.6,365.9,150.5,543.5,100,Left,2
3,22p left.jpg,1,1492,1395,16,1412,518.2,351.2,517.1,354.2,0.1,349.4,382.3,5.4,6.6,100,Left,3
3,23a left.jpg,1,1489,939,16,956,734.1,333.9,733.6,336,0.1,539.7,367.2,4.7,9,100,Left,1
3,23p right.jpg,1,1492,196,16,213,616.1,379.2,615.2,375.1,0.2,349.4,382.3,10.5,12.8,100,Left,1
3,23p right.jpg,1,1492,412,33,446,623.7,368,418.4,368.2,4.6,541.1,384.5,136.6,217.5,50.2,Left,2
3,23p right.jpg,1,1492,546,16,562,335.1,382.3,333.7,384.7,0.1,644.8,365,4.3,7.5,100,Left,3
3,23p right.jpg,1,1492,1446,49,1496,361.6,381.8,547.8,357.2,5.4,679.2,336.3,107.8,182.9,33.3,Left,4
3,24a right.jpg,1,1492,611,116,727,481.7,375.3,690,299.2,27.8,644.8,365,238,714.1,42.8,Left,1
3,24a right.jpg,1,1492,944,33,977,524.1,325.2,480.1,360.9,3.8,679.2,336.3,113.4,290.9,100,Left,2
3,24a right.jpg,1,1492,1194,16,1211,406.5,383.2,401.1,386.7,0.2,525.2,391.3,11.3,18.6,100,Left,3
3,24p left.jpg,1,1487,637,16,654,557.3,280.9,540.1,342.5,1.3,697.8,388.4,78.6,132.2,100,Left,1
3,2a right.jpg,1,1485,518,50,568,700.4,384.1,409.9,382.8,6.3,722.3,357.6,126.2,215.2,100,Left,1
3,2a right.jpg,1,1485,1268,16,1285,330.8,368,330.5,366.8,0.1,697.8,388.4,3.1,5.8,100,Left,2
3,2p left.jpg,1,1485,268,16,285,518.9,402.4,418.3,404.9,1,722.3,357.6,62.5,208.3,100,Left,1
3,2p left.jpg,1,1485,452,50,502,388,395.7,647.4,385.5,5.1,532.7,378.2,102.3,209.7,33.3,Left,2
3,3a left.jpg,1,1487,137,116,253,521.1,331.6,503,307.1,28.9,612.8,367.2,248,476.1,14.3,Left,1
3,3a left.jpg,1,1487,403,16,420,531.5,338,538.2,346.3,0.3,726.4,364.3,18,33.8,100,Left,2
3,3a left.jpg,1,1487,837,133,970,522.4,380.9,385,335.5,30.9,726.4,364.3,232.2,731,37.5,Left,3
3,3p right.jpg,1,1491,275,16,291,595.5,378.5,607.2,374.4,0.8,367.4,401.1,50.4,165.3,0,Left,1
3,3p right.jpg,1,1491,458,33,491,619.5,367.4,405.2,369.4,3.6,520.5,398.6,108.2,239.6,50.2,Left,2
3,3p right.jpg,1,1491,591,16,608,337.2,373.4,297.7,377,0.6,367.4,401.1,36.3,82,100,Left,3
3,4a left.jpg,1,1490,591,66,657,498.9,348.2,415.4,398.7,3.4,323.1,372,50.6,138.9,100,Left,1
3,4p left.jpg,1,1484,317,33,351,510.6,372.4,674.6,364,2.9,317.1,370.8,86.4,175.2,100,Left,1
3,4p left.jpg,1,1484,1184,16,1201,726.4,368.1,724.6,350.1,0.7,532.3,382.6,40.3,87.9,100,Left,2
3,4p left.jpg,1,1484,1451,33,1484,719.4,374.1,728,369.6,0.5,323.1,372,15,29.5,49.9,Left,3
3,5a right.jpg,1,1487,604,33,637,500.5,357,638,361.9,2.9,317.1,370.8,86.6,158.5,100,Left,1
3,5a right.jpg,1,1487,954,33,987,679.6,348.5,471.4,356.8,3.5,523.3,380.8,105.7,223.3,50.1,Left,2
3,5a right.jpg,1,1487,1104,16,1121,421.5,390.3,399.9,386.6,0.5,697.3,365.7,31.2,45.4,100,Left,3
3,5p right.jpg,1,1492,463,49,513,499.5,348.4,699.6,318.6,10.4,727.5,332.5,207.1,614.9,100,Left,1
3,5p right.jpg,1,1492,613,99,713,707.9,332.8,725.4,342.1,31.9,697.3,365.7,319,625.8,100,Left,2
